State,Capital_city,Confirmed,Recovered,Deaths
Guinea,Conakry,21803,19107,139
Guinea-Bissau,Bissau,3722,3222,66
Guyana,Georgetown,12448,10619,277
Haiti,Port-au-Prince,12944,11945,251
Holy See,Citt,27,15,0
Honduras,Tegucigalpa,205696,77531,5095
Hungary,Budapest,767190,478323,26420
Iceland,Reykjav,6390,6227,29
India,New Delhi,37232,32180,430
Indonesia,Jakarta,1636792,1492322,44500
Iran,Tehran,2358809,1850791,68746
Iraq,Baghdad,1018321,891007,15174
Ireland,Dublin,245743,23364,4867
Israel,Jerusalem,837892,829696,6346
Italy,Roma,406066,371556,11203
Jamaica,Kingston,44642,20275,752
Japan,Tokyo,1120,1029,19
Jordan,Amman,699164,661432,8514
Kazakhstan,Astana,355918,310933,3304
Kenya,Nairobi,155165,106093,2583
"Korea, South",Seoul,118243,107781,1812
Kosovo,Seoul,102720,89432,2115
Kuwait,Kuwait,264198,247136,1502
Kyrgyzstan,Bishkek,93603,87880,1578
Laos,Vientiane,159,49,0
Latvia,Riga,114955,103953,2101
Lebanon,Beirut,518104,441631,7090
Lesotho,Maseru,10723,6267,316
Liberia,Monrovia,2097,1940,85
Libya,Tripoli,174752,160113,2947
Liechtenstein,Vaduz,2866,2724,57
Lithuania,Vilnius,240522,217779,3841
Luxembourg,Luxembourg [Luxemburg/L,66007,62183,790
MS Zaandam,Luxembourg [Luxemburg/L,9,7,2
Madagascar,Antananarivo,34775,27646,588
Malawi,Lilongwe,33989,31864,1145
Malaysia,Kuala Lumpur,390252,365900,1426
Maldives,Male,27403,24116,71
Mali,Bamako,13504,7804,460
Malta,Valletta,30129,29204,412
Marshall Islands,Dalap-Uliga-Darrit,4,4,0
Mauritania,Nouakchott,18207,17560,454
Mauritius,Port-Louis,1205,996,16
Mexico,Ciudad de M,9263,0,1181
Micronesia,Ciudad de M,1,1,0
Moldova,Chisinau,248518,235965,5691
Monaco,Monaco-Ville,2426,2317,31
Mongolia,Ulan Bator,29219,14745,74
Montenegro,Ulan Bator,96348,92142,1457
Morocco,Rabat,508530,494415,8983
Mozambique,Maputo,69597,62408,806
Namibia,Windhoek,47383,45278,622
Nepal,Kathmandu,294601,276755,3122
Netherlands,Amsterdam,37719,0,459
New Zealand,Wellington,2600,2542,26
Nicaragua,Managua,6835,4225,181
Niger,Niamey,5143,4812,191
Nigeria,Abuja,164633,154643,2061
North Macedonia,Skopje,149710,127139,4628
Norway,Oslo,110061,17998,736
Oman,Masqat,185278,165051,1942
Pakistan,Islamabad,276670,261871,4587
Panama,Ciudad de Panam,362358,352255,6200
Papua New Guinea,Port Moresby,10338,7364,99
Paraguay,Asunci,263134,215702,5715
Peru,Lima,11049,1670805,408
Philippines,Manila,989380,883221,16674
Poland,Warszawa,2751632,2422659,65222
Portugal,Lisboa,833397,791751,16957
Qatar,Doha,200778,178461,413
Romania,Bucuresti,1042521,963840,27113
Russia,Moscow,1094,1066,4
Rwanda,Kigali,24459,22696,328
Saint Kitts and Nevis,Basseterre,44,44,0
Saint Lucia,Castries,4455,4290,70
Saint Vincent and the Grenadines,Kingstown,1827,1703,10
Samoa,Apia,3,2,0
San Marino,San Marino,5047,4839,89
Sao Tome and Principe,S,2292,2227,35
Saudi Arabia,Riyadh,410191,393671,6878
Senegal,Dakar,40022,38786,1097
Serbia,Dakar,675904,0,6164
Seychelles,Victoria,5206,4675,26
Sierra Leone,Freetown,4044,2914,79
Singapore,Singapore,60966,60613,30
Slovakia,Bratislava,379476,255300,11458
Slovenia,Ljubljana,236613,221814,4203
Solomon Islands,Honiara,20,18,0
Somalia,Mogadishu,13459,5593,689
South Africa,Pretoria,1572985,1499110,54066
South Sudan,Juba,10515,10250,114
Spain,Madrid,29208,3107,757
Sri Lanka,Madrid,99691,94036,638
Sudan,Khartum,33673,26411,2300
Suriname,Paramaribo,9932,9002,193
Sweden,Stockholm,38026,0,544
Switzerland,Bern,646509,317600,10567
Syria,Damascus,21864,15551,1510
Taiwan*,Damascus,1090,1044,11
Tajikistan,Dushanbe,13308,13218,90
Tanzania,Dodoma,509,183,21
Thailand,Bangkok,53022,26873,129
Timor-Leste,Bangkok,1739,814,3
Togo,Lom,12742,10614,121
Trinidad and Tobago,Port-of-Spain,9487,8092,157
Tunisia,Tunis,296343,246001,10170
Turkey,Ankara,4550820,3970111,37672
Uganda,Kampala,41575,40898,341
Ukraine,Kyiv,55592,46483,953
United Arab Emirates,Abu Dhabi,506845,488664,1567
United Kingdom,London,2315,1572,23
Uruguay,Montevideo,179537,148561,2227
Uzbekistan,Toskent,88679,85536,642
Vanuatu,Port-Vila,4,3,1
Venezuela,Caracas,189381,172035,2009
Vietnam,Hanoi,2832,2490,35
West Bank and Gaza,Hanoi,289120,259105,3138
Yemen,Sanaa,6056,2454,1165
Zambia,Lusaka,91251,89256,1245
Zimbabwe,Harare,38045,35094,1556
US,Washington,587870,0,9068
Global,Washington,145717857,83875153,3088402
Afghanistan,Kabul,58542,52363,2565
Albania,Tirana,130270,104278,2367
Algeria,Alger,120562,84038,3190
Andorra,Andorra la Vella,13007,12423,123
Angola,Luanda,25279,23089,574
Antigua and Barbuda,Saint John's,1222,995,31
Argentina,Buenos Aires,2824652,2474514,61176
Armenia,Yerevan,212878,193360,4001
Australia,Canberra,984,946,9
Austria,Wien,606954,570684,10070
Azerbaijan,Baku,309789,274766,4307
Bahamas,Nassau,9976,9215,196
Bahrain,al-Manama,169254,158133,617
Bangladesh,Dhaka,739703,647674,10869
Barbados,Bridgetown,3820,3718,44
Belarus,Minsk,350221,340660,2473
Belgium,Bruxelles [Brussel],87233,0,0
Belize,Belmopan,12599,12168,321
Benin,Porto-Novo,7720,7510,97
Bhutan,Thimphu,1008,926,1
Bolivia,La Paz,295892,244079,12783
Bosnia and Herzegovina,Sarajevo,194733,153408,8203
Botswana,Gaborone,45855,41338,691
Brazil,Brasília,460306,431220,12354
Brunei,Bandar Seri Begawan,223,210,3
Bulgaria,Sofia,396302,323877,15826
Burkina Faso,Ouagadougou,13231,12887,156
Burma,Ouagadougou,142704,131925,3206
Burundi,Bujumbura,3759,773,6
Cabo Verde,Bujumbura,21784,18959,201
Cambodia,Phnom Penh,8848,3148,61
Cameroon,Yaound,65998,35261,991
Canada,Ottawa,13,13,0
Central African Republic,Bangui,6224,5112,85
Chad,N'Djam,4747,4382,169
Chile,Santiago de Chile,19471,18300,388
China,Peking,18,18,0
Colombia,Santaf,29754,28155,801
Comoros,Moroni,3829,3650,146
Congo (Brazzaville),Moroni,10084,8208,139
Congo (Kinshasa),Moroni,29405,26135,752
Costa Rica,San Jos,236930,199982,3136
Cote d'Ivoire,Yamoussoukro,45765,45311,279
Croatia,Zagreb,318837,295885,6784
Cuba,La Habana,99208,92960,569
Cyprus,Nicosia,60681,39061,297
Czechia,Praha,1618068,1524041,28920
Denmark,Copenhagen,31,31,0
Diamond Princess,Copenhagen,712,699,13
Djibouti,Djibouti,10738,10207,132
Dominica,Roseau,173,171,0
Dominican Republic,Santo Domingo de Guzm,263470,220678,3448
Ecuador,Quito,371306,309541,18062
Egypt,Cairo,220658,166024,12959
El Salvador,San Salvador,68318,64340,2098
Equatorial Guinea,Malabo,7559,7097,107
Eritrea,Asmara,3605,3410,10
Estonia,Tallinn,120000,107298,1137
Eswatini,Tallinn,18434,17730,671
Ethiopia,Addis Abeba,249292,188080,3511
Fiji,Suva,87,65,2
Finland,Helsinki [Helsingfors],85344,46000,903
France,Paris,18725,4842,141
Gabon,Libreville,22433,19074,138
Gambia,Banjul,5820,5272,173
Georgia,Tbilisi,302785,284749,4007
Germany,Berlin,57021,50790,1496
Ghana,Accra,91928,89729,777
Greece,Athenai,329134,93764,9864
Grenada,Saint George's,159,155,1
Guatemala,Ciudad de Guatemala,219789,194964,7374
Guinea,Conakry,21803,19107,139
Guinea-Bissau,Bissau,3722,3222,66
Guyana,Georgetown,12448,10619,277
Haiti,Port-au-Prince,12944,11945,251
Holy See,Citt,27,15,0
Honduras,Tegucigalpa,205696,77531,5095
Hungary,Budapest,767190,478323,26420
Iceland,Reykjav,6390,6227,29
India,New Delhi,1013370,728980,10737
Indonesia,Jakarta,1636792,1492322,44500
Iran,Tehran,2358809,1850791,68746
Iraq,Baghdad,1018321,891007,15174
Ireland,Dublin,245743,23364,4867
Israel,Jerusalem,837892,829696,6346
Italy,Roma,406066,371556,11203
Jamaica,Kingston,44642,20275,752
Japan,Tokyo,2147,1754,17
Jordan,Amman,699164,661432,8514
Kazakhstan,Astana,355918,310933,3304
Kenya,Nairobi,155165,106093,2583
"Korea, South",Seoul,118243,107781,1812
Kosovo,Seoul,102720,89432,2115
Kuwait,Kuwait,264198,247136,1502
Kyrgyzstan,Bishkek,93603,87880,1578
Laos,Vientiane,159,49,0
Latvia,Riga,114955,103953,2101
Lebanon,Beirut,518104,441631,7090
Lesotho,Maseru,10723,6267,316
Liberia,Monrovia,2097,1940,85
Libya,Tripoli,174752,160113,2947
Liechtenstein,Vaduz,2866,2724,57
Lithuania,Vilnius,240522,217779,3841
Luxembourg,Luxembourg [Luxemburg/L,66007,62183,790
MS Zaandam,Luxembourg [Luxemburg/L,9,7,2
Madagascar,Antananarivo,34775,27646,588
Malawi,Lilongwe,33989,31864,1145
Malaysia,Kuala Lumpur,390252,365900,1426
Maldives,Male,27403,24116,71
Mali,Bamako,13504,7804,460
Malta,Valletta,30129,29204,412
Marshall Islands,Dalap-Uliga-Darrit,4,4,0
Mauritania,Nouakchott,18207,17560,454
Mauritius,Port-Louis,1205,996,16
Mexico,Ciudad de M,46837,0,5510
Micronesia,Ciudad de M,1,1,0
Moldova,Chisinau,248518,235965,5691
Monaco,Monaco-Ville,2426,2317,31
Mongolia,Ulan Bator,29219,14745,74
Montenegro,Ulan Bator,96348,92142,1457
Morocco,Rabat,508530,494415,8983
Mozambique,Maputo,69597,62408,806
Namibia,Windhoek,47383,45278,622
Nepal,Kathmandu,294601,276755,3122
Netherlands,Amsterdam,111740,0,1231
New Zealand,Wellington,2600,2542,26
Nicaragua,Managua,6835,4225,181
Niger,Niamey,5143,4812,191
Nigeria,Abuja,164633,154643,2061
North Macedonia,Skopje,149710,127139,4628
Norway,Oslo,110061,17998,736
Oman,Masqat,185278,165051,1942
Pakistan,Islamabad,790016,686488,16999
Panama,Ciudad de Panam,362358,352255,6200
Papua New Guinea,Port Moresby,10338,7364,99
Paraguay,Asunci,263134,215702,5715
Peru,Lima,62393,0,3599
Philippines,Manila,989380,883221,16674
Poland,Warszawa,2751632,2422659,65222
Portugal,Lisboa,833397,791751,16957
Qatar,Doha,200778,178461,413
Romania,Bucuresti,1042521,963840,27113
Russia,Moscow,43369,40775,708
Rwanda,Kigali,24459,22696,328
Saint Kitts and Nevis,Basseterre,44,44,0
Saint Lucia,Castries,4455,4290,70
Saint Vincent and the Grenadines,Kingstown,1827,1703,10
Samoa,Apia,3,2,0
San Marino,San Marino,5047,4839,89
Sao Tome and Principe,S,2292,2227,35
Saudi Arabia,Riyadh,410191,393671,6878
Senegal,Dakar,40022,38786,1097
Serbia,Dakar,675904,0,6164
Seychelles,Victoria,5206,4675,26
Sierra Leone,Freetown,4044,2914,79
Singapore,Singapore,60966,60613,30
Slovakia,Bratislava,379476,255300,11458
Slovenia,Ljubljana,236613,221814,4203
Solomon Islands,Honiara,20,18,0
Somalia,Mogadishu,13459,5593,689
South Africa,Pretoria,1572985,1499110,54066
South Sudan,Juba,10515,10250,114
Spain,Madrid,0,0,0
Sri Lanka,Madrid,99691,94036,638
Sudan,Khartum,33673,26411,2300
Suriname,Paramaribo,9932,9002,193
Sweden,Stockholm,222719,0,4160
Switzerland,Bern,646509,317600,10567
Syria,Damascus,21864,15551,1510
Taiwan*,Damascus,1090,1044,11
Tajikistan,Dushanbe,13308,13218,90
Tanzania,Dodoma,509,183,21
Thailand,Bangkok,53022,26873,129
Timor-Leste,Bangkok,1739,814,3
Togo,Lom,12742,10614,121
Trinidad and Tobago,Port-of-Spain,9487,8092,157
Tunisia,Tunis,296343,246001,10170
Turkey,Ankara,4550820,3970111,37672
Uganda,Kampala,41575,40898,341
Ukraine,Kyiv,66795,47831,1452
United Arab Emirates,Abu Dhabi,506845,488664,1567
United Kingdom,London,211162,0,5543
Uruguay,Montevideo,179537,148561,2227
Uzbekistan,Toskent,88679,85536,642
Vanuatu,Port-Vila,4,3,1
Venezuela,Caracas,189381,172035,2009
Vietnam,Hanoi,2832,2490,35
West Bank and Gaza,Hanoi,289120,259105,3138
Yemen,Sanaa,6056,2454,1165
Zambia,Lusaka,91251,89256,1245
Zimbabwe,Harare,38045,35094,1556
US,Washington,1061907,0,19122
Global,Washington,145717857,83875153,3088402
Afghanistan,Kabul,58542,52363,2565
Albania,Tirana,130270,104278,2367
Algeria,Alger,120562,84038,3190
Andorra,Andorra la Vella,13007,12423,123
Angola,Luanda,25279,23089,574
Antigua and Barbuda,Saint John's,1222,995,31
Argentina,Buenos Aires,2824652,2474514,61176
Armenia,Yerevan,212878,193360,4001
Australia,Canberra,1525,1454,7
Austria,Wien,606954,570684,10070
Azerbaijan,Baku,309789,274766,4307
Bahamas,Nassau,9976,9215,196
Bahrain,al-Manama,169254,158133,617
Bangladesh,Dhaka,739703,647674,10869
Barbados,Bridgetown,3820,3718,44
Belarus,Minsk,350221,340660,2473
Belgium,Bruxelles [Brussel],28349,0,0
Belize,Belmopan,12599,12168,321
Benin,Porto-Novo,7720,7510,97
Bhutan,Thimphu,1008,926,1
Bolivia,La Paz,295892,244079,12783
Bosnia and Herzegovina,Sarajevo,194733,153408,8203
Botswana,Gaborone,45855,41338,691
Brazil,Brasília,942712,905523,23975
Brunei,Bandar Seri Begawan,223,210,3
Bulgaria,Sofia,396302,323877,15826
Burkina Faso,Ouagadougou,13231,12887,156
Burma,Ouagadougou,142704,131925,3206
Burundi,Bujumbura,3759,773,6
Cabo Verde,Bujumbura,21784,18959,201
Cambodia,Phnom Penh,8848,3148,61
Cameroon,Yaound,65998,35261,991
Canada,Ottawa,39392,36458,471
Central African Republic,Bangui,6224,5112,85
Chad,N'Djam,4747,4382,169
Chile,Santiago de Chile,19471,18300,388
China,Peking,102351,97008,4845
Colombia,Santaf,1529,1500,23
Comoros,Moroni,3829,3650,146
Congo (Brazzaville),Moroni,10084,8208,139
Congo (Kinshasa),Moroni,29405,26135,752
Costa Rica,San Jos,236930,199982,3136
Cote d'Ivoire,Yamoussoukro,45765,45311,279
Croatia,Zagreb,318837,295885,6784
Cuba,La Habana,99208,92960,569
Cyprus,Nicosia,60681,39061,297
Czechia,Praha,1618068,1524041,28920
Denmark,Copenhagen,31,31,0
Diamond Princess,Copenhagen,712,699,13
Djibouti,Djibouti,10738,10207,132
Dominica,Roseau,173,171,0
Dominican Republic,Santo Domingo de Guzm,263470,220678,3448
Ecuador,Quito,371306,309541,18062
Egypt,Cairo,220658,166024,12959
El Salvador,San Salvador,68318,64340,2098
Equatorial Guinea,Malabo,7559,7097,107
Eritrea,Asmara,3605,3410,10
Estonia,Tallinn,120000,107298,1137
Eswatini,Tallinn,18434,17730,671
Ethiopia,Addis Abeba,249292,188080,3511
Fiji,Suva,87,65,2
Finland,Helsinki [Helsingfors],85344,46000,903
France,Paris,5502014,336234,102655
Gabon,Libreville,22433,19074,138
Gambia,Banjul,5820,5272,173
Georgia,Tbilisi,302785,284749,4007
Germany,Berlin,229651,206700,5209
Ghana,Accra,91928,89729,777
Greece,Athenai,329134,93764,9864
Grenada,Saint George's,159,155,1
Guatemala,Ciudad de Guatemala,219789,194964,7374
Guinea,Conakry,21803,19107,139
Guinea-Bissau,Bissau,3722,3222,66
Guyana,Georgetown,12448,10619,277
Haiti,Port-au-Prince,12944,11945,251
Holy See,Citt,27,15,0
Honduras,Tegucigalpa,205696,77531,5095
Hungary,Budapest,767190,478323,26420
Iceland,Reykjav,6390,6227,29
India,New Delhi,156344,137240,2111
Indonesia,Jakarta,1636792,1492322,44500
Iran,Tehran,2358809,1850791,68746
Iraq,Baghdad,1018321,891007,15174
Ireland,Dublin,245743,23364,4867
Israel,Jerusalem,837892,829696,6346
Italy,Roma,13028,11941,467
Jamaica,Kingston,44642,20275,752
Japan,Tokyo,12116,10540,134
Jordan,Amman,699164,661432,8514
Kazakhstan,Astana,355918,310933,3304
Kenya,Nairobi,155165,106093,2583
"Korea, South",Seoul,118243,107781,1812
Kosovo,Seoul,102720,89432,2115
Kuwait,Kuwait,264198,247136,1502
Kyrgyzstan,Bishkek,93603,87880,1578
Laos,Vientiane,159,49,0
Latvia,Riga,114955,103953,2101
Lebanon,Beirut,518104,441631,7090
Lesotho,Maseru,10723,6267,316
Liberia,Monrovia,2097,1940,85
Libya,Tripoli,174752,160113,2947
Liechtenstein,Vaduz,2866,2724,57
Lithuania,Vilnius,240522,217779,3841
Luxembourg,Luxembourg [Luxemburg/L,66007,62183,790
MS Zaandam,Luxembourg [Luxemburg/L,9,7,2
Madagascar,Antananarivo,34775,27646,588
Malawi,Lilongwe,33989,31864,1145
Malaysia,Kuala Lumpur,390252,365900,1426
Maldives,Male,27403,24116,71
Mali,Bamako,13504,7804,460
Malta,Valletta,30129,29204,412
Marshall Islands,Dalap-Uliga-Darrit,4,4,0
Mauritania,Nouakchott,18207,17560,454
Mauritius,Port-Louis,1205,996,16
Mexico,Ciudad de M,2323430,1845008,214504
Micronesia,Ciudad de M,1,1,0
Moldova,Chisinau,248518,235965,5691
Monaco,Monaco-Ville,2426,2317,31
Mongolia,Ulan Bator,29219,14745,74
Montenegro,Ulan Bator,96348,92142,1457
Morocco,Rabat,508530,494415,8983
Mozambique,Maputo,69597,62408,806
Namibia,Windhoek,47383,45278,622
Nepal,Kathmandu,294601,276755,3122
Netherlands,Amsterdam,37719,0,459
New Zealand,Wellington,2600,2542,26
Nicaragua,Managua,6835,4225,181
Niger,Niamey,5143,4812,191
Nigeria,Abuja,164633,154643,2061
North Macedonia,Skopje,149710,127139,4628
Norway,Oslo,110061,17998,736
Oman,Masqat,185278,165051,1942
Pakistan,Islamabad,112140,94675,3066
Panama,Ciudad de Panam,362358,352255,6200
Papua New Guinea,Port Moresby,10338,7364,99
Paraguay,Asunci,263134,215702,5715
Peru,Lima,27904,0,756
Philippines,Manila,989380,883221,16674
Poland,Warszawa,2751632,2422659,65222
Portugal,Lisboa,833397,791751,16957
Qatar,Doha,200778,178461,413
Romania,Bucuresti,1042521,963840,27113
Russia,Moscow,79595,74828,2588
Rwanda,Kigali,24459,22696,328
Saint Kitts and Nevis,Basseterre,44,44,0
Saint Lucia,Castries,4455,4290,70
Saint Vincent and the Grenadines,Kingstown,1827,1703,10
Samoa,Apia,3,2,0
San Marino,San Marino,5047,4839,89
Sao Tome and Principe,S,2292,2227,35
Saudi Arabia,Riyadh,410191,393671,6878
Senegal,Dakar,40022,38786,1097
Serbia,Dakar,675904,0,6164
Seychelles,Victoria,5206,4675,26
Sierra Leone,Freetown,4044,2914,79
Singapore,Singapore,60966,60613,30
Slovakia,Bratislava,379476,255300,11458
Slovenia,Ljubljana,236613,221814,4203
Solomon Islands,Honiara,20,18,0
Somalia,Mogadishu,13459,5593,689
South Africa,Pretoria,1572985,1499110,54066
South Sudan,Juba,10515,10250,114
Spain,Madrid,0,0,0
Sri Lanka,Madrid,99691,94036,638
Sudan,Khartum,33673,26411,2300
Suriname,Paramaribo,9932,9002,193
Sweden,Stockholm,34320,0,599
Switzerland,Bern,646509,317600,10567
Syria,Damascus,21864,15551,1510
Taiwan*,Damascus,1090,1044,11
Tajikistan,Dushanbe,13308,13218,90
Tanzania,Dodoma,509,183,21
